Longitude,Latitude,NASC,depthbin_min,rho_a (ind/m3),biomass (g/m3)
18.64188346862793,70.67109934488933,0.01633,2.0,0.7157965101420551,0.00022189691814403708
18.64188346862793,70.67109934488933,0.016233,4.0,0.7115446876384557,0.00022057885316792127
18.64188346862793,70.67109934488933,0.071909,6.0,3.152003138261178,0.0009771209728609653
18.64188346862793,70.67109934488933,0.8924979999999999,8.0,39.121062688840404,0.012127529433540524
18.64188346862793,70.67109934488933,1.5413379999999999,10.0,67.56181024796906,0.02094416117687041
18.64188346862793,70.67109934488933,1.4699389999999999,12.0,64.43216205276805,0.019973970236358097
18.64188346862793,70.67109934488933,2.751054,14.0,120.58755985378697,0.03738214355467396
18.64188346862793,70.67109934488933,3.221647,16.0,141.2151671469456,0.04377670181555313
18.64188346862793,70.67109934488933,2.960315,18.0,129.760143657145,0.040225644533714945
18.64188346862793,70.67109934488933,2.5923700000000003,20.0,113.63192890367175,0.03522589796013824
18.64188346862793,70.67109934488933,3.984728,22.0,174.66346578477226,0.0541456743932794
18.64188346862793,70.67109934488933,5.085562,24.0,222.91656654691062,0.06910413562954229
18.64188346862793,70.67109934488933,2.791723,26.0,122.37021314655901,0.03793476607543329
18.64188346862793,70.67109934488933,1.098031,28.0,48.13023624175082,0.014920373234942755
18.64188346862793,70.67109934488933,0.126616,2.0,5.549987197069593,0.001720496031091574
18.64188346862793,70.67109934488933,0.100222,4.0,4.393053143873671,0.0013618464746008381
18.64188346862793,70.67109934488933,0.169264,6.0,7.419386435559389,0.0023000097950234104
18.64188346862793,70.67109934488933,0.526228,8.0,23.066268581692185,0.0071505432603245775
18.64188346862793,70.67109934488933,1.024239,10.0,44.895695147053786,0.013917665495586673
18.64188346862793,70.67109934488933,1.011225,12.0,44.32524960002448,0.013740827376007589
18.64188346862793,70.67109934488933,1.560459,14.0,68.3999452798384,0.021203983036749904
18.64188346862793,70.67109934488933,2.450989,16.0,107.4347441883996,0.03330477069840388
18.64188346862793,70.67109934488933,3.101957,18.0,135.96876884327733,0.04215031834141597
18.64188346862793,70.67109934488933,3.208556,20.0,140.64134644184642,0.04359881739697239
18.64188346862793,70.67109934488933,3.9750900000000002,22.0,174.2410011941569,0.05401471037018864
18.64188346862793,70.67109934488933,5.985932,24.0,262.38268435686786,0.08133863215062903
18.64188346862793,70.67109934488933,4.135887,26.0,181.28925174169592,0.05619966803992574
18.64188346862793,70.67109934488933,1.320474,28.0,57.88062957338151,0.01794299516774827
18.641570472717287,70.67120933532715,0.021422,2.0,0.938995274970184,0.00029108853524075705
18.641570472717287,70.67120933532715,0.01089,4.0,0.4773437841669921,0.00014797657309176756
18.641570472717287,70.67120933532715,0.170506,6.0,7.473827296894136,0.002316886462037182
18.641570472717287,70.67120933532715,1.360208,8.0,59.62229880387658,0.01848291262920174
18.641570472717287,70.67120933532715,1.6721130000000002,10.0,73.29409981403322,0.022721170942350297
18.641570472717287,70.67120933532715,1.572568,12.0,68.93072176124136,0.02136852374598482
18.641570472717287,70.67120933532715,1.24793,14.0,54.70079233934935,0.0169572456251983
18.641570472717287,70.67120933532715,2.092474,16.0,91.71987671543091,0.028433161781783584
18.641570472717287,70.67120933532715,3.249533,18.0,142.4375003668979,0.04415562511373835
18.641570472717287,70.67120933532715,3.3350150000000003,20.0,146.18445182311123,0.045317180065164483
18.641570472717287,70.67120933532715,3.630007,22.0,159.1149015548825,0.049325619482013576
18.641570472717287,70.67120933532715,4.965398,24.0,217.64939129616292,0.0674713113018105
18.641570472717287,70.67120933532715,2.363902,26.0,103.61744041137932,0.03212140652752759
18.641570472717287,70.67120933532715,1.308009,28.0,57.33424846505814,0.017773617024168024
18.641257476806643,70.67131932576497,0.125498,2.0,5.500981655223982,0.0017053043131194344
18.641257476806643,70.67131932576497,0.020950999999999997,4.0,0.9183498275557989,0.00028468844654229767
18.641257476806643,70.67131932576497,0.325907,6.0,14.285553780212295,0.004428521671865812
18.641257476806643,70.67131932576497,2.625946,8.0,115.10367315502076,0.03568213867805643
18.641257476806643,70.67131932576497,4.386478,10.0,192.2734625973608,0.059604773405181846
18.641257476806643,70.67131932576497,3.5598669999999997,12.0,156.04043938578488,0.048372536209593316
18.641257476806643,70.67131932576497,2.0000240000000002,14.0,87.66749537050543,0.027176923564856684
18.641257476806643,70.67131932576497,2.4663720000000002,16.0,108.10903063760446,0.033513799497657384
18.641257476806643,70.67131932576497,2.482571,18.0,108.81908499570557,0.03373391634866873
18.641257476806643,70.67131932576497,2.58934,20.0,113.49911424196137,0.03518472541500802
18.641257476806643,70.67131932576497,3.836846,22.0,168.1813212953156,0.052136209601547835
18.641257476806643,70.67131932576497,5.537708,24.0,242.73558239961665,0.07524803054388116
18.641257476806643,70.67131932576497,3.7333489999999996,26.0,163.64471435041833,0.05072986144862968
18.641257476806643,70.67131932576497,1.466494,28.0,64.28115660405774,0.0199271585472579
18.640631484985352,70.67153930664062,0.0044009999999999995,2.0,0.19291000864269348,5.9802102679234975e-05
18.640631484985352,70.67153930664062,0.006517,4.0,0.2856611057315232,8.85549427767722e-05
18.640631484985352,70.67153930664062,0.136389,6.0,5.978369272612662,0.0018532944745099252
18.640631484985352,70.67153930664062,1.5966209999999998,8.0,69.98504224246896,0.021695363095165378
18.640631484985352,70.67153930664062,2.632458,10.0,115.38911509464387,0.0357706256793396
18.640631484985352,70.67153930664062,2.173492,12.0,95.27115667003525,0.02953405856771093
18.640631484985352,70.67153930664062,1.6935099999999998,14.0,74.23199925846122,0.023011919770122978
